county,office,district,candidate,party,votes,early_voting,mail,election_day,provisional,
Camden,Registered Voters,,,,394178,,,,,
Camden,Ballots Cast,,,,252220,36712,87825,117501,10182,
Camden,President,,Kamala D. Harris,D,155522,18875,65560,65170,5917,
Camden,President,,Donald J. Trump,R,87767,17187,18478,48554,3548,
Camden,President,,Jill Stein,I,1407,147,433,754,73,
Camden,President,,Robert F. Kennedy Jr.,I,1218,118,442,586,72,
Camden,President,,Chase Oliver,I,510,41,147,296,26,
Camden,President,,Claudia De la Cruz,I,238,25,102,98,13,
Camden,President,,Randall A. Terry,I,128,10,46,69,3,
Camden,President,,Joseph Kishore,I,122,9,29,76,8,
Camden,President,,Rachele Fruit,I,42,6,9,24,3,
Camden,President,,Write-In Totals,,832,75,339,388,30,
Camden,President,,Overvotes,,2917,99,1561,872,385,
Camden,President,,Undervotes,,1517,120,679,614,104,
Camden,U.S. Senate,,Andy Kim,D,156445,18801,66180,65591,5873,
Camden,U.S. Senate,,Curtis Bashaw,R,79545,16007,17304,43122,3112,
Camden,U.S. Senate,,Christina Khalil,I,1889,214,562,999,114,
Camden,U.S. Senate,,Kenneth R. Kaplan,I,1007,122,237,603,45,
Camden,U.S. Senate,,Joanne Kuniansky,I,281,39,100,129,13,
Camden,U.S. Senate,,Patricia G. Mooneyham,I,241,27,75,129,10,
Camden,U.S. Senate,,Write-In Totals,,119,13,38,68,0,
Camden,U.S. Senate,,Overvotes,,1838,61,1062,492,223,
Camden,U.S. Senate,,Undervotes,,10855,1428,2267,6368,792,
Camden,U.S. House,1,Donald Norcross,D,145494,17436,61774,60726,5558,
Camden,U.S. House,1,"Theodore ""Teddy"" Liddell",R,85323,16723,19299,45983,3318,
Camden,U.S. House,1,Robin Brownfield,I,4321,502,1811,1819,189,
Camden,U.S. House,1,Austin Johnson,I,1854,206,657,909,82,
Camden,U.S. House,1,Write-In Totals,,179,21,71,81,6,
Camden,U.S. House,1,Overvotes,,1309,42,769,353,145,
Camden,U.S. House,1,Undervotes,,13740,1782,3444,7630,884,
Camden,Sheriff,,Chuck Billingham,D,148470,17661,63051,62091,5667,
Camden,Sheriff,,Sean Williams,R,85637,16703,19423,46102,3409,
Camden,Sheriff,,Write-In Totals,,217,27,85,101,4,
Camden,Sheriff,,Overvotes,,119,5,66,33,15,
Camden,Sheriff,,Undervotes,,17295,2316,4718,9174,1087,
Camden,County Clerk,,Pamela Lampitt,D,149690,17796,63675,62478,5741,
Camden,County Clerk,,Jennifer Exler,R,84229,16504,19047,45369,3309,
Camden,County Clerk,,Write-In Totals,,166,21,70,70,5,
Camden,County Clerk,,Overvotes,,97,3,64,21,9,
Camden,County Clerk,,Undervotes,,17556,2388,4487,9563,1118,
Camden,Members of the Board of County Commissioners,,Melinda Kane,D,149107,17733,63643,62073,5658,
Camden,Members of the Board of County Commissioners,,Jeffrey L. Nash,D,147499,17556,63350,61048,5545,
Camden,Members of the Board of County Commissioners,,Al Dyer,D,141952,16810,61545,58272,5325,
Camden,Members of the Board of County Commissioners,,Danielle Barry,R,84583,16445,19501,45315,3322,
Camden,Members of the Board of County Commissioners,,Donald J. Smith,R,80214,15738,18618,42769,3089,
Camden,Members of the Board of County Commissioners,,Norman C. Rebel Jr.,R,78860,15575,18094,42152,3039,
Camden,Members of the Board of County Commissioners,,Write-In Totals,,454,51,193,196,14,
Camden,Members of the Board of County Commissioners,,Overvotes,,525,24,255,183,63,
Camden,Members of the Board of County Commissioners,,Undervotes,,72023,10204,16831,40495,4493,
Camden,Members of Council Audubon Park Borough,,Cathleen Lowe,D,326,24,115,168,19,
Camden,Members of Council Audubon Park Borough,,Amy Paratore,D,315,23,115,159,18,
Camden,Members of Council Audubon Park Borough,,Write-In Totals,,14,0,8,6,0,
Camden,Members of Council Audubon Park Borough,,Overvotes,,0,0,0,0,0,
Camden,Members of Council Audubon Park Borough,,Undervotes,,501,67,76,321,37,
Camden,Members of Council Barrington Borough,,Michael Drumm,D,2282,294,940,989,59,
Camden,Members of Council Barrington Borough,,Jeffrey A. Beyer,D,2158,280,916,905,57,
Camden,Members of Council Barrington Borough,,Kelly L. McHugh,R,1463,270,327,816,50,
Camden,Members of Council Barrington Borough,,Kathleen D. Granato,R,1405,265,309,783,48,
Camden,Members of Council Barrington Borough,,Write-In Totals,,6,2,2,2,0,
Camden,Members of Council Barrington Borough,,Overvotes,,6,0,6,0,0,
Camden,Members of Council Barrington Borough,,Undervotes,,458,79,118,239,22,
Camden,Members of Council Bellmawr Borough,,William R. Evans,D,3485,405,1321,1638,121,
Camden,Members of Council Bellmawr Borough,,Craig R. Wilhelm,D,3424,399,1304,1604,117,
Camden,Members of Council Bellmawr Borough,,Write-In Totals,,91,32,22,36,1,
Camden,Members of Council Bellmawr Borough,,Overvotes,,4,0,2,2,0,
Camden,Members of Council Bellmawr Borough,,Undervotes,,4580,746,781,2884,169,
Camden,Members of Council Berlin Borough,,Patricia Cummings,D,2439,324,928,1119,68,
Camden,Members of Council Berlin Borough,,Jake Miller,I,1203,186,364,630,23,
Camden,Members of Council Berlin Borough,,Write-In Totals,,42,11,13,18,0,
Camden,Members of Council Berlin Borough,,Overvotes,,0,0,0,0,0,
Camden,Members of Council Berlin Borough,,Undervotes,,5683,971,1519,2991,202,
Camden,Members of Council Berlin Township,,Frank Epifanio,D,1720,178,814,672,56,
Camden,Members of Council Berlin Township,,Mark Reid,D,1712,178,815,660,59,
Camden,Members of Council Berlin Township,,Write-In Totals,,49,8,16,25,0,
Camden,Members of Council Berlin Township,,Overvotes,,0,0,0,0,0,
Camden,Members of Council Berlin Township,,Undervotes,,2673,466,669,1449,89,
Camden,Mayor - Unexpired Term Brooklawn Borough,,Jerry D. Granstrom,D,573,30,144,380,19,
Camden,Mayor - Unexpired Term Brooklawn Borough,,Write-In Totals,,9,0,3,6,0,
Camden,Mayor - Unexpired Term Brooklawn Borough,,Overvotes,,0,0,0,0,0,
Camden,Mayor - Unexpired Term Brooklawn Borough,,Undervotes,,317,29,45,237,6,
Camden,Member of Council - Unexpired Term Brooklawn Borough,,Bruce Darrow,D,552,27,141,364,20,
Camden,Member of Council - Unexpired Term Brooklawn Borough,,Write-In Totals,,10,1,3,6,0,
