county,precinct,office,district,party,candidate,votes,
Camden,Audubon District 1,Registered Voters,,,,896,
Camden,Audubon District 2,Registered Voters,,,,658,
Camden,Audubon District 3,Registered Voters,,,,"1,087",
Camden,Audubon District 4,Registered Voters,,,,713,
Camden,Audubon District 5,Registered Voters,,,,"1,063",
Camden,Audubon District 6,Registered Voters,,,,"1,177",
Camden,Audubon District 7,Registered Voters,,,,706,
Camden,Audubon District 8,Registered Voters,,,,931,
Camden,Audubon Park District 1,Registered Voters,,,,820,
Camden,Barrington District 1,Registered Voters,,,,"1,265",
Camden,Barrington District 2,Registered Voters,,,,"1,050",
Camden,Barrington District 3,Registered Voters,,,,"1,188",
Camden,Barrington District 4,Registered Voters,,,,"1,505",
Camden,Barrington District 5,Registered Voters,,,,461,
Camden,Bellmawr District 1,Registered Voters,,,,"1,582",
Camden,Bellmawr District 2,Registered Voters,,,,"1,447",
Camden,Bellmawr District 3,Registered Voters,,,,"1,310",
Camden,Bellmawr District 4,Registered Voters,,,,"1,088",
Camden,Bellmawr District 5,Registered Voters,,,,"1,048",
Camden,Bellmawr District 6,Registered Voters,,,,"1,298",
Camden,Bellmawr District 7,Registered Voters,,,,981,
Camden,Berlin Boro District 1,Registered Voters,,,,"1,462",
Camden,Berlin Boro District 2,Registered Voters,,,,"1,461",
Camden,Berlin Boro District 3,Registered Voters,,,,"1,530",
Camden,Berlin Boro District 4,Registered Voters,,,,"1,385",
Camden,Berlin Boro District 5,Registered Voters,,,,715,
Camden,Berlin Twp District 1,Registered Voters,,,,"1,790",
Camden,Berlin Twp District 2,Registered Voters,,,,769,
Camden,Berlin Twp District 3,Registered Voters,,,,700,
Camden,Berlin Twp District 4,Registered Voters,,,,"1,325",
Camden,Brooklawn District 1,Registered Voters,,,,"1,439",
Camden,Camden Ward 1 District 1,Registered Voters,,,,596,
Camden,Camden Ward 1 District 2,Registered Voters,,,,"1,123",
Camden,Camden Ward 1 District 3,Registered Voters,,,,"1,123",
Camden,Camden Ward 1 District 4,Registered Voters,,,,944,
Camden,Camden Ward 1 District 5,Registered Voters,,,,"1,320",
Camden,Camden Ward 1 District 6,Registered Voters,,,,"1,310",
Camden,Camden Ward 1 District 7,Registered Voters,,,,910,
Camden,Camden Ward 1 District 8,Registered Voters,,,,903,
Camden,Camden Ward 1 District 9,Registered Voters,,,,"1,389",
Camden,Camden Ward 1 District 10,Registered Voters,,,,"1,280",
Camden,Camden Ward 2 District 1,Registered Voters,,,,684,
Camden,Camden Ward 2 District 2,Registered Voters,,,,922,
Camden,Camden Ward 2 District 3,Registered Voters,,,,"1,044",
Camden,Camden Ward 2 District 4,Registered Voters,,,,745,
Camden,Camden Ward 2 District 5,Registered Voters,,,,836,
Camden,Camden Ward 2 District 6,Registered Voters,,,,"1,546",
Camden,Camden Ward 2 District 7,Registered Voters,,,,"1,008",
Camden,Camden Ward 2 District 8,Registered Voters,,,,"1,735",
Camden,Camden Ward 2 District 9,Registered Voters,,,,"1,773",
Camden,Camden Ward 2 District 10,Registered Voters,,,,821,
Camden,Camden Ward 2 District 11,Registered Voters,,,,765,
Camden,Camden Ward 2 Provisional,Registered Voters,,,,0,
Camden,Camden Ward 2 EV Emergency,Registered Voters,,,,0,
Camden,Camden Ward 3 District 1,Registered Voters,,,,"1,018",
Camden,Camden Ward 3 District 2,Registered Voters,,,,"1,182",
Camden,Camden Ward 3 District 3,Registered Voters,,,,"1,151",
Camden,Camden Ward 3 District 4,Registered Voters,,,,"1,146",
Camden,Camden Ward 3 District 5,Registered Voters,,,,924,
Camden,Camden Ward 3 District 6,Registered Voters,,,,"1,113",
Camden,Camden Ward 3 District 7,Registered Voters,,,,"1,180",
Camden,Camden Ward 3 District 8,Registered Voters,,,,"1,326",
Camden,Camden Ward 3 District 9,Registered Voters,,,,"1,752",
Camden,Camden Ward 3 Provisional,Registered Voters,,,,0,
Camden,Camden Ward 3 EV Emergency,Registered Voters,,,,0,
Camden,Camden Ward 4 District 1,Registered Voters,,,,938,
Camden,Camden Ward 4 District 2,Registered Voters,,,,"1,075",
Camden,Camden Ward 4 District 3,Registered Voters,,,,"1,074",
Camden,Camden Ward 4 District 4,Registered Voters,,,,"1,145",
Camden,Camden Ward 4 District 5,Registered Voters,,,,888,
Camden,Camden Ward 4 District 6,Registered Voters,,,,"1,345",
Camden,Camden Ward 4 District 7,Registered Voters,,,,"1,170",
Camden,Camden Ward 4 District 8,Registered Voters,,,,"1,180",
Camden,Camden Ward 4 District 9,Registered Voters,,,,"1,207",
Camden,Camden Ward 4 District 10,Registered Voters,,,,"1,050",
Camden,Camden Ward 4 Provisional,Registered Voters,,,,0,
Camden,Camden Ward 4 EV Emergency,Registered Voters,,,,0,
Camden,Cherry Hill District 1,Registered Voters,,,,"1,144",
Camden,Cherry Hill District 2,Registered Voters,,,,"1,396",
Camden,Cherry Hill District 3,Registered Voters,,,,"1,268",
Camden,Cherry Hill District 4,Registered Voters,,,,"1,350",
Camden,Cherry Hill District 5,Registered Voters,,,,"1,358",
Camden,Cherry Hill District 6,Registered Voters,,,,953,
Camden,Cherry Hill District 7,Registered Voters,,,,"1,159",
Camden,Cherry Hill District 8,Registered Voters,,,,"1,123",
Camden,Cherry Hill District 9,Registered Voters,,,,"2,317",
