county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional,federal
Sussex,"Andover Boro, District 1",Registered Voters,,,,456,,,,,
Sussex,"Andover Boro, District 1",Ballots Cast,,,,312,52,231,24,3,2
Sussex,"Andover Boro, District 1",President,,DEM,Kamala D. Harris,127,,,,,
Sussex,"Andover Boro, District 1",President,,REP,Donald J. Trump,180,,,,,
Sussex,"Andover Boro, District 1",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Andover Boro, District 1",President,,IND,Robert F. Kennedy Jr.,3,,,,,
Sussex,"Andover Boro, District 1",President,,LIB,Chase Oliver,1,,,,,
Sussex,"Andover Boro, District 1",President,,GRN,Jill Stein,1,,,,,
Sussex,"Andover Boro, District 1",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Andover Boro, District 1",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Andover Boro, District 1",President,,,Joseph Kishore,0,,,,,
Sussex,"Andover Boro, District 1",President,,,Write-In Totals,0,,,,,
Sussex,"Andover Boro, District 1",U.S. Senate,,DEM,Andy Kim,118,,,,,
Sussex,"Andover Boro, District 1",U.S. Senate,,REP,Curtis Bashaw,170,,,,,
Sussex,"Andover Boro, District 1",U.S. Senate,,SWP,Joanne Kuniansky,2,,,,,
Sussex,"Andover Boro, District 1",U.S. Senate,,GRN,Christina Khalil,6,,,,,
Sussex,"Andover Boro, District 1",U.S. Senate,,,Patricia G. Mooneyham,1,,,,,
Sussex,"Andover Boro, District 1",U.S. Senate,,LIB,Kenneth R. Kaplan,4,,,,,
Sussex,"Andover Boro, District 1",U.S. Senate,,,Write-In Totals,0,,,,,
Sussex,"Andover Boro, District 1",U.S.House,7,DEM,Sue Altman,114,,,,,
Sussex,"Andover Boro, District 1",U.S.House,7,REP,Thomas H. Kean Jr.,168,,,,,
Sussex,"Andover Boro, District 1",U.S.House,7,GRN,Andrew Black,8,,,,,
Sussex,"Andover Boro, District 1",U.S.House,7,LIB,Lana Leguia,4,,,,,
Sussex,"Andover Boro, District 1",U.S.House,7,,Write-In Totals,1,,,,,
Sussex,"Andover Boro, District 1",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,120,,,,,
Sussex,"Andover Boro, District 1",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Andover Boro, District 1",COUNTY COMMISSIONER,,REP,Christopher Carney,188,,,,,
Sussex,"Andover Boro, District 1",COUNTY COMMISSIONER,,REP,Alan Henderson,144,,,,,
Sussex,"Andover Boro, District 1",COUNTY COMMISSIONER,,,Write-In Totals,4,,,,,
Sussex,"Andover Boro, District 1",BOROUGH COUNCIL Andover Borough,,DEM,John C. Giffoniello,99,,,,,
Sussex,"Andover Boro, District 1",BOROUGH COUNCIL Andover Borough,,DEM,Michael W. Giffoniello,91,,,,,
Sussex,"Andover Boro, District 1",BOROUGH COUNCIL Andover Borough,,REP,Melvin Dennison,152,,,,,
Sussex,"Andover Boro, District 1",BOROUGH COUNCIL Andover Borough,,REP,Robert L. Smith,173,,,,,
Sussex,"Andover Boro, District 1",BOROUGH COUNCIL Andover Borough,,,Write-In Totals,5,,,,,
Sussex,"Andover Twp, District 1",Registered Voters,,,,997,,,,,
Sussex,"Andover Twp, District 1",Ballots Cast,,,,658,205,324,125,3,1
Sussex,"Andover Twp, District 1",President,,DEM,Kamala D. Harris,275,,,,,
Sussex,"Andover Twp, District 1",President,,REP,Donald J. Trump,373,,,,,
Sussex,"Andover Twp, District 1",President,,CST,Randall A. Terry,1,,,,,
Sussex,"Andover Twp, District 1",President,,IND,Robert F. Kennedy Jr.,5,,,,,
Sussex,"Andover Twp, District 1",President,,LIB,Chase Oliver,0,,,,,
Sussex,"Andover Twp, District 1",President,,GRN,Jill Stein,2,,,,,
Sussex,"Andover Twp, District 1",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Andover Twp, District 1",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Andover Twp, District 1",President,,,Joseph Kishore,0,,,,,
Sussex,"Andover Twp, District 1",President,,,Write-In Totals,0,,,,,
Sussex,"Andover Twp, District 1",U.S. Senate,,DEM,Andy Kim,274,,,,,
Sussex,"Andover Twp, District 1",U.S. Senate,,REP,Curtis Bashaw,355,,,,,
Sussex,"Andover Twp, District 1",U.S. Senate,,SWP,Joanne Kuniansky,6,,,,,
Sussex,"Andover Twp, District 1",U.S. Senate,,GRN,Christina Khalil,3,,,,,
Sussex,"Andover Twp, District 1",U.S. Senate,,,Patricia G. Mooneyham,2,,,,,
Sussex,"Andover Twp, District 1",U.S. Senate,,LIB,Kenneth R. Kaplan,6,,,,,
Sussex,"Andover Twp, District 1",U.S. Senate,,,Write-In Totals,0,,,,,
Sussex,"Andover Twp, District 1",U.S.House,5,DEM,Josh Gottheimer,281,,,,,
Sussex,"Andover Twp, District 1",U.S.House,5,REP,Mary Jo Guinchard,342,,,,,
Sussex,"Andover Twp, District 1",U.S.House,5,GRN,Beau Forte,8,,,,,
Sussex,"Andover Twp, District 1",U.S.House,5,LIB,James Tosone,4,,,,,
Sussex,"Andover Twp, District 1",U.S.House,5,,Aamir Arif,5,,,,,
Sussex,"Andover Twp, District 1",U.S.House,5,,Write-In Totals,1,,,,,
Sussex,"Andover Twp, District 1",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,238,,,,,
Sussex,"Andover Twp, District 1",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 1",COUNTY COMMISSIONER,,REP,Christopher Carney,382,,,,,
Sussex,"Andover Twp, District 1",COUNTY COMMISSIONER,,REP,Alan Henderson,289,,,,,
Sussex,"Andover Twp, District 1",COUNTY COMMISSIONER,,,Write-In Totals,13,,,,,
Sussex,"Andover Twp, District 1",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 1",TOWNSHIP COMMITTEE Andover Township,,,No Nomination Made,0,,,,,
Sussex,"Andover Twp, District 1",TOWNSHIP COMMITTEE Andover Township,,REP,Krista Gilchrist,445,,,,,
Sussex,"Andover Twp, District 1",TOWNSHIP COMMITTEE Andover Township,,REP,Eric Karr,395,,,,,
Sussex,"Andover Twp, District 1",TOWNSHIP COMMITTEE Andover Township,,,Write-In Totals,20,,,,,
Sussex,"Andover Twp, District 1",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Brian Hertenstein,284,,,,,
Sussex,"Andover Twp, District 1",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Lena Sciroppo,315,,,,,
Sussex,"Andover Twp, District 1",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Jeffrey Neubig,280,,,,,
Sussex,"Andover Twp, District 1",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,"Margaret ""Peggy"" Widgren",321,,,,,
Sussex,"Andover Twp, District 1",MEMBERSHIP TO BOE - Andover Rgnl - Andover Twp,,,Write-In Totals,16,,,,,
Sussex,"Andover Twp, District 2",Registered Voters,,,,636,,,,,
Sussex,"Andover Twp, District 2",Ballots Cast,,,,469,124,258,79,4,4
Sussex,"Andover Twp, District 2",President,,DEM,Kamala D. Harris,172,,,,,
Sussex,"Andover Twp, District 2",President,,REP,Donald J. Trump,287,,,,,
Sussex,"Andover Twp, District 2",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Andover Twp, District 2",President,,IND,Robert F. Kennedy Jr.,5,,,,,
Sussex,"Andover Twp, District 2",President,,LIB,Chase Oliver,0,,,,,
