county,precinct,office,district,candidate,party,votes,election_day,mail,early_voting,provisional,emergency,federal
Gloucester,Clayton Borough - District 1,Registered Voters,,,,1117,,,,,,
Gloucester,Clayton Borough - District 1,Ballots Cast,,,,784,462,135,170,17,0,0
Gloucester,Clayton Borough - District 1,Ballots Cast - Blank,,,,1,1,0,0,0,0,0
Gloucester,Clayton Borough - District 1,President,2,DONALD J. TRUMP,,360,,,,,,
Gloucester,Clayton Borough - District 1,President,,KAMALA D. HARRIS,,405,,,,,,
Gloucester,Clayton Borough - District 1,President,,ROBERT F. KENNEDY JR.,,4,,,,,,
Gloucester,Clayton Borough - District 1,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Clayton Borough - District 1,President,,RANDALL A. TERRY,,1,,,,,,
Gloucester,Clayton Borough - District 1,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Clayton Borough - District 1,President,,CLAUDIA DE LA CRUZ,,2,,,,,,
Gloucester,Clayton Borough - District 1,President,,JILL STEIN,,2,,,,,,
Gloucester,Clayton Borough - District 1,President,,CHASE OLIVER,,1,,,,,,
Gloucester,Clayton Borough - District 1,President,,Write-ins,,3,,,,,,
Gloucester,Clayton Borough - District 1,U.S. Senate,,CURTIS BASHAW,,339,,,,,,
Gloucester,Clayton Borough - District 1,U.S. Senate,,ANDY KIM,,398,,,,,,
Gloucester,Clayton Borough - District 1,U.S. Senate,,JOANNE KUNIANSKY,,5,,,,,,
Gloucester,Clayton Borough - District 1,U.S. Senate,,CHRISTINA KHALIL,,5,,,,,,
Gloucester,Clayton Borough - District 1,U.S. Senate,,KENNETH R. KAPLAN,,3,,,,,,
Gloucester,Clayton Borough - District 1,U.S. Senate,,PATRICIA G. MOONEYHAM,,3,,,,,,
Gloucester,Clayton Borough - District 1,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 1,U.S. House,2,JEFF VAN DREW,,358,,,,,,
Gloucester,Clayton Borough - District 1,U.S. House,2,JOSEPH F. SALERNO,,391,,,,,,
Gloucester,Clayton Borough - District 1,U.S. House,2,THOMAS CANNAVO,,6,,,,,,
Gloucester,Clayton Borough - District 1,U.S. House,2,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 1,SHERIFF,,JONATHAN M. SAMMONS,,357,,,,,,
Gloucester,Clayton Borough - District 1,SHERIFF,,CARMEL MORINA,,391,,,,,,
Gloucester,Clayton Borough - District 1,SHERIFF,,Write-ins,,1,,,,,,
Gloucester,Clayton Borough - District 1,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,338,,,,,,
Gloucester,Clayton Borough - District 1,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,334,,,,,,
Gloucester,Clayton Borough - District 1,COUNTY COMMISSIONER,,TOM BIANCO,,422,,,,,,
Gloucester,Clayton Borough - District 1,COUNTY COMMISSIONER,,DON HEVERLY,,400,,,,,,
Gloucester,Clayton Borough - District 1,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Clayton Borough - District 1,COUNCIL - BOROUGH OF CLAYTON,,RONALD PINCHICK,,321,,,,,,
Gloucester,Clayton Borough - District 1,COUNCIL - BOROUGH OF CLAYTON,,JAMES RICHARDSON,,332,,,,,,
Gloucester,Clayton Borough - District 1,COUNCIL - BOROUGH OF CLAYTON,,DAVID CHAPES,,417,,,,,,
