county,office,district,party,candidate,votes
Atlantic,General Assembly,1,Democratic,Bob Andrzejczak,692
Atlantic,General Assembly,1,Democratic,R. Bruce Land,639
Atlantic,General Assembly,1,Republican,Sam Fiocchi,716
Atlantic,General Assembly,1,Republican,Jim Sauro,710
Cape May,General Assembly,1,Democratic,Bob Andrzejczak,10800
Cape May,General Assembly,1,Democratic,R. Bruce Land,9921
Cape May,General Assembly,1,Republican,Sam Fiocchi,9495
Cape May,General Assembly,1,Republican,Jim Sauro,8801
Cumberland,General Assembly,1,Democratic,Bob Andrzejczak,8739
Cumberland,General Assembly,1,Democratic,R. Bruce Land,8580
Cumberland,General Assembly,1,Republican,Sam Fiocchi,6627
Cumberland,General Assembly,1,Republican,Jim Sauro,6884
Atlantic,General Assembly,2,Republican,Chris Brown,18959
Atlantic,General Assembly,2,Republican,Will Pauls,16907
Atlantic,General Assembly,2,Democratic,Vincent Mazzeo,18279
Atlantic,General Assembly,2,Democratic,Colin Bell,17433
Cumberland,General Assembly,3,Democratic,John J. Burzichelli,1668
Cumberland,General Assembly,3,Democratic,Adam Taliaferro,1547
Cumberland,General Assembly,3,Republican,Samuel J. Maccarone Jr.,1160
Cumberland,General Assembly,3,Republican,Leroy P. Pierce III,1101
Cumberland,General Assembly,3,The Peoples Voice,John Kalnas,53
Gloucester,General Assembly,3,Democratic,John J. Burzichelli,12288
Gloucester,General Assembly,3,Democratic,Adam Taliaferro,12402
Gloucester,General Assembly,3,Republican,Samuel J. Maccarone Jr.,8291
Gloucester,General Assembly,3,Republican,Leroy P. Pierce III,7300
Gloucester,General Assembly,3,The Peoples Voice,John Kalnas,739
Salem,General Assembly,3,Democratic,John J. Burzichelli,6551
Salem,General Assembly,3,Democratic,Adam Taliaferro,5531
Salem,General Assembly,3,Republican,Samuel J. Maccarone Jr.,6612
Salem,General Assembly,3,Republican,Leroy P. Pierce III,6314
Salem,General Assembly,3,The Peoples Voice,John Kalnas,431
Camden,General Assembly,4,Democratic,Paul D. Moriarty,9846
Camden,General Assembly,4,Democratic,Gabriela M. Mosquera,9627
Camden,General Assembly,4,Republican,Kevin P. Murphy,5258
Camden,General Assembly,4,Republican,Jack Nicholson,5041
Gloucester,General Assembly,4,Democratic,Paul D. Moriarty,7608
Gloucester,General Assembly,4,Democratic,Gabriela M. Mosquera,7520
Gloucester,General Assembly,4,Republican,Kevin P. Murphy,6334
Gloucester,General Assembly,4,Republican,Jack Nicholson,6090
Camden,General Assembly,5,Democratic,Nilsa Cruz-Perez,11171
Camden,General Assembly,5,Democratic,Arthur Barclay,9551
Camden,General Assembly,5,Democratic,Patricia Egan Jones,10200
Camden,General Assembly,5,Republican,Kevin P. Ehret,3563
Camden,General Assembly,5,Republican,Keith A. Walker,3990
Gloucester,General Assembly,5,Democratic,Nilsa Cruz-Perez,7979
Gloucester,General Assembly,5,Democratic,Arthur Barclay,6246
Gloucester,General Assembly,5,Democratic,Patricia Egan Jones,6566
Gloucester,General Assembly,5,Republican,Kevin P. Ehret,4482
Gloucester,General Assembly,5,Republican,Keith A. Walker,4727
Burlington,General Assembly,6,Democratic,Louis D. Greenwald,1004
Burlington,General Assembly,6,Democratic,Pamela R. Lampitt,960
Burlington,General Assembly,6,Republican,Holly Tate,601
Burlington,General Assembly,6,Republican,Claire H. Gustafson,567
Burlington,General Assembly,6,Green Party,James Bracciante,40
Burlington,General Assembly,6,Green Party,Amanda Davis,49
Camden,General Assembly,6,Democratic,Louis D. Greenwald,20083
Camden,General Assembly,6,Democratic,Pamela R. Lampitt,19068
Camden,General Assembly,6,Republican,Holly Tate,10422
Camden,General Assembly,6,Republican,Claire H. Gustafson,10112
Camden,General Assembly,6,Green Party,James Bracciante,810
Camden,General Assembly,6,Green Party,Amanda Davis,936
Burlington,General Assembly,7,Democratic,Herb Conaway,22559
Burlington,General Assembly,7,Democratic,Troy Singleton,22056
