county,office,district,party,candidate,votes
ATLANTIC,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,7669
BERGEN,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,28704
BURLINGTON,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,13929
CAMDEN,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,19034
CAPE MAY,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,1828
CUMBERLAND,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,2424
ESSEX,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,35304
GLOUCESTER,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,8077
HUDSON,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,29235
HUNTERDON,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,3005
MERCER,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,11910
MIDDLESEX,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,19211
MONMOUTH,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,15020
MORRIS,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,14480
OCEAN,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,9408
PASSAIC,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,10330
SALEM,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,1083
SOMERSET,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,8260
SUSSEX,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,1930
UNION,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,20317
WARREN,U.S. Senate,,Democratic,ROBERT MENENDEZ (w) *,1319
ATLANTIC,U.S. Senate,,Republican,BOB HUGIN (w),5640
BERGEN,U.S. Senate,,Republican,BOB HUGIN (w),15254
BURLINGTON,U.S. Senate,,Republican,BOB HUGIN (w),11382
CAMDEN,U.S. Senate,,Republican,BOB HUGIN (w),6434
CAPE MAY,U.S. Senate,,Republican,BOB HUGIN (w),4028
CUMBERLAND,U.S. Senate,,Republican,BOB HUGIN (w),2119
ESSEX,U.S. Senate,,Republican,BOB HUGIN (w),6142
GLOUCESTER,U.S. Senate,,Republican,BOB HUGIN (w),4982
HUDSON,U.S. Senate,,Republican,BOB HUGIN (w),3118
HUNTERDON,U.S. Senate,,Republican,BOB HUGIN (w),6434
MERCER,U.S. Senate,,Republican,BOB HUGIN (w),3975
MIDDLESEX,U.S. Senate,,Republican,BOB HUGIN (w),8144
MONMOUTH,U.S. Senate,,Republican,BOB HUGIN (w),17699
